Query ID,Sample query,START_TIME,COMPILATION_TIME [ms],EXECUTION_TIME [ms],TOTAL_ELAPSED_TIME [ms],DWH
1,"WITH customer_total_return 
     AS (SELECT sr_cus",2020-12-22 01:57:31.855 -0800,114,1,115,LARGE
2,"WITH wscs 
     AS (SELECT sold_date_sk, 
        ",2020-12-22 01:57:32.086 -0800,"1,130","3,500","4,630",LARGE
3,"SELECT dt.d_year, 
               item.i_brand_id ",2020-12-22 01:57:37.109 -0800,260,50,310,LARGE
4,"WITH year_total 
     AS (SELECT c_customer_id    ",2020-12-22 01:57:37.663 -0800,"2,387","4,538","6,925",LARGE
5,"WITH ssr AS 
( 
         SELECT   s_store_id, 
   ",2020-12-22 01:57:44.848 -0800,"1,109","3,382","4,491",LARGE
6,"SELECT a.ca_state state, 
               Count(*) ",2020-12-22 01:57:49.663 -0800,535,47,582,LARGE
7,"SELECT i_item_id, 
               Avg(ss_quantity)",2020-12-22 01:57:50.345 -0800,396,46,442,LARGE
8,"WITH ca_zips AS (
        SELECT Substr(ca_zip, 1,",2020-12-22 01:57:50.899 -0800,198,51,249,LARGE
9,"SELECT CASE 
         WHEN (SELECT Count(*) 
     ",2020-12-22 01:57:51.467 -0800,"1,105",179,"1,284",LARGE
10,"SELECT cd_gender, 
               cd_marital_statu",2020-12-22 01:57:52.930 -0800,869,"1,505","2,374",LARGE
11,"WITH year_total 
     AS (SELECT c_customer_id    ",2020-12-22 01:57:55.591 -0800,894,"2,638","3,532",LARGE
12,"SELECT
         i_item_id , 
         i_item_desc ",2020-12-22 01:57:59.272 -0800,735,"1,269","2,004",LARGE
13,"SELECT Avg(ss_quantity), 
       Avg(ss_ext_sales_",2020-12-22 01:58:01.558 -0800,401,35,436,LARGE
14,"WITH item_ss AS (
    SELECT DISTINCT 
        iss",2020-12-22 01:58:02.150 -0800,783,"3,502","4,285",LARGE
15,"SELECT ca_zip, 
               Sum(cs_sales_price)",2020-12-22 01:58:06.696 -0800,287,"6,139","6,426",LARGE
16,"SELECT
         Count(DISTINCT cs_order_number) AS",2020-12-22 01:58:13.411 -0800,765,"1,325","2,090",LARGE
17,"SELECT i_item_id, 
               i_item_desc, 
  ",2020-12-22 01:58:15.699 -0800,164,31,195,LARGE
18,"SELECT i_item_id, 
               ca_country, 
   ",2020-12-22 01:58:16.552 -0800,560,"1,755","2,315",LARGE
19,"SELECT i_brand_id              brand_id, 
        ",2020-12-22 01:58:19.807 -0800,238,47,285,LARGE
20,"SELECT 
         i_item_id , 
         i_item_desc",2020-12-22 01:58:23.239 -0800,462,821,"1,283",LARGE
21,"SELECT
         * 
FROM    ( 
                  SE",2020-12-22 01:58:25.563 -0800,555,"1,258","1,813",LARGE
22,"SELECT i_product_name, 
               i_brand, 
 ",2020-12-22 01:58:28.959 -0800,487,"4,030","4,517",LARGE
23,"WITH frequent_ss_items 
     AS (SELECT Substr(i_i",2020-12-22 01:58:34.187 -0800,549,"1,519","2,068",LARGE
24,"WITH ssales 
     AS (SELECT c_last_name, 
       ",2020-12-22 01:58:37.286 -0800,138,64,202,LARGE
25,"SELECT i_item_id, 
               i_item_desc, 
  ",2020-12-22 01:58:38.249 -0800,150,39,189,LARGE
26,"SELECT i_item_id, 
               Avg(cs_quantity)",2020-12-22 01:58:39.716 -0800,460,"1,327","1,787",LARGE
27,"SELECT i_item_id, 
               s_state, 
      ",2020-12-22 01:58:42.067 -0800,145,64,209,LARGE
28,"SELECT * 
FROM   (SELECT Avg(ss_list_price)       ",2020-12-22 01:58:43.082 -0800,116,408,524,LARGE
29,"SELECT i_item_id, 
               i_item_desc, 
  ",2020-12-22 01:58:43.865 -0800,144,71,215,LARGE
30,"WITH customer_total_return 
     AS (SELECT wr_ret",2020-12-22 01:58:44.448 -0800,264,"1,212","1,476",LARGE
31,"WITH ss 
     AS (SELECT ca_county, 
             ",2020-12-22 01:58:48.514 -0800,161,34,195,LARGE
32,"SELECT 
       Sum(cs_ext_discount_amt) AS excess_",2020-12-22 01:58:50.195 -0800,253,869,"1,122",LARGE
33,"WITH ss 
     AS (SELECT i_manufact_id, 
         ",2020-12-22 01:58:52.375 -0800,456,"1,714","2,170",LARGE
34,"SELECT c_last_name, 
       c_first_name, 
       ",2020-12-22 01:58:55.775 -0800,185,39,224,LARGE
35,"SELECT ca_state, 
               cd_gender, 
     ",2020-12-22 01:58:58.971 -0800,414,"1,167","1,581",LARGE
36,SELECT Sum(ss_net_profit) / Sum(ss_ext_sales_price,2020-12-22 01:59:02.514 -0800,96,44,140,LARGE
37,"SELECT 
         i_item_id , 
         i_item_desc",2020-12-22 01:59:03.991 -0800,418,"1,544","1,962",LARGE
38,"WITH g1 AS (
        SELECT DISTINCT c_last_name, ",2020-12-22 01:59:08.679 -0800,140,37,177,LARGE
39,"WITH inv 
     AS (SELECT w_warehouse_name, 
     ",2020-12-22 01:59:10.018 -0800,314,"3,540","3,854",LARGE
40,"SELECT
                w_state , 
                ",2020-12-22 01:59:19.001 -0800,773,"1,094","1,867",LARGE
41,"SELECT Distinct(i_product_name) 
FROM   item i1 
W",2020-12-22 01:59:22.605 -0800,243,412,655,LARGE
42,"SELECT dt.d_year, 
               item.i_category_",2020-12-22 01:59:25.669 -0800,253,61,314,LARGE
43,"SELECT s_store_name, 
               s_store_id, 
",2020-12-22 01:59:28.536 -0800,221,61,282,LARGE
44,"SELECT asceding.rnk, 
               i1.i_product_",2020-12-22 01:59:28.953 -0800,118,45,163,LARGE
45,"SELECT ca_zip, 
               ca_state, 
        ",2020-12-22 01:59:29.824 -0800,374,"1,508","1,882",LARGE
46,"SELECT c_last_name, 
               c_first_name, ",2020-12-22 01:59:32.360 -0800,154,46,200,LARGE
47,"WITH v1 
     AS (SELECT i_category, 
            ",2020-12-22 01:59:34.672 -0800,247,73,320,LARGE
48,"SELECT Sum (ss_quantity) 
FROM   store_sales, 
   ",2020-12-22 01:59:38.447 -0800,132,40,172,LARGE
49,"SELECT 'web' AS channel, 
               web.item,",2020-12-22 01:59:39.754 -0800,567,"3,319","3,886",LARGE
