Query ID,Sample query,START_TIME,COMPILATION_TIME [ms],EXECUTION_TIME [ms],TOTAL_ELAPSED_TIME [ms],DWH
1,"create table query01 as 
WITH customer_total_retur",2020-12-23 05:37:28.558 -0800,914,1783,2697,XSMALL
2,"create table query02 as 
WITH wscs 
     AS (SELEC",2020-12-23 05:37:31.391 -0800,679,7767,8446,XSMALL
3,"create table query03 as 
SELECT dt.d_year, 
      ",2020-12-23 05:37:39.957 -0800,512,541,1053,XSMALL
4,"create table query04 as 
WITH year_total 
     AS ",2020-12-23 05:37:41.163 -0800,1767,8409,10176,XSMALL
5,"create table query05 as 
WITH ssr AS 
( 
         ",2020-12-23 05:37:52.750 -0800,1110,1799,2909,XSMALL
6,"create table query06 as 
SELECT a.ca_state state, ",2020-12-23 05:37:56.954 -0800,518,574,1092,XSMALL
7,"create table query07 as 
SELECT i_item_id, 
      ",2020-12-23 05:37:59.005 -0800,505,466,971,XSMALL
8,"create table query08 as 
WITH ca_zips AS (
       ",2020-12-23 05:38:01.871 -0800,352,463,815,XSMALL
9,"create table query09 as 
SELECT CASE 
         WHE",2020-12-23 05:38:03.578 -0800,706,720,1426,XSMALL
10,"create table query10 as 
SELECT cd_gender, 
      ",2020-12-23 05:38:06.880 -0800,517,1616,2133,XSMALL
11,"create table query11 as 
WITH year_total 
     AS ",2020-12-23 05:38:09.390 -0800,737,4596,5333,XSMALL
12,"create table query12 as 
SELECT
         i_item_id",2020-12-23 05:38:16.960 -0800,379,1526,1905,XSMALL
13,"create table query13 as 
SELECT Avg(ss_quantity) a",2020-12-23 05:38:20.692 -0800,521,663,1184,XSMALL
14,"create table query14 as 
WITH item_ss AS (
    SEL",2020-12-23 05:38:22.623 -0800,1139,2060,3199,XSMALL
15,"create table query15 as 
SELECT ca_zip, 
       Su",2020-12-23 05:38:25.917 -0800,502,1068,1570,XSMALL
16,"create table query16 as 
SELECT
         Count(DIS",2020-12-23 05:38:27.706 -0800,916,1566,2482,XSMALL
17,"create table query17 as 
SELECT i_item_id, 
      ",2020-12-23 05:38:30.285 -0800,282,479,761,XSMALL
18,"create table query18 as 
SELECT i_item_id, 
      ",2020-12-23 05:38:31.198 -0800,828,2182,3010,XSMALL
19,"create table query19 as 
SELECT i_brand_id        ",2020-12-23 05:38:34.313 -0800,383,480,863,XSMALL
20,"create table query20 as 
SELECT 
         i_item_i",2020-12-23 05:38:35.272 -0800,297,1103,1400,XSMALL
21,"create table query21 as 
SELECT
         * 
FROM  ",2020-12-23 05:38:36.762 -0800,578,1011,1589,XSMALL
22,"create table query22 as 
SELECT i_product_name, 
 ",2020-12-23 05:38:38.456 -0800,731,7108,7839,XSMALL
23,"create table query23 as 
WITH frequent_ss_items 
 ",2020-12-23 05:38:46.565 -0800,1010,999,2009,XSMALL
24,"create table query24 as 
WITH ssales 
     AS (SEL",2020-12-23 05:38:51.743 -0800,428,581,1009,XSMALL
25,"create table query25 as 
SELECT i_item_id, 
      ",2020-12-23 05:38:53.568 -0800,222,437,659,XSMALL
26,"create table query26 as 
SELECT i_item_id, 
      ",2020-12-23 05:38:56.986 -0800,699,1719,2418,XSMALL
27,"create table query27 as 
SELECT i_item_id, 
      ",2020-12-23 05:39:01.580 -0800,257,519,776,XSMALL
28,"create table query28 as 
SELECT * 
FROM   (SELECT ",2020-12-23 05:39:03.077 -0800,254,921,1175,XSMALL
29,"create table query29 as 
SELECT i_item_id, 
      ",2020-12-23 05:39:05.863 -0800,249,411,660,XSMALL
30,"create table query30 as 
WITH customer_total_retur",2020-12-23 05:39:07.102 -0800,667,1581,2248,XSMALL
31,"create table query31 as 
WITH ss 
     AS (SELECT ",2020-12-23 05:39:10.472 -0800,271,431,702,XSMALL
32,"create table query32 as 
SELECT 
       Sum(cs_ext",2020-12-23 05:39:11.773 -0800,406,840,1246,XSMALL
33,"create table query33 as 
WITH ss 
     AS (SELECT ",2020-12-23 05:39:13.576 -0800,803,1351,2154,XSMALL
34,"create table query34 as 
SELECT c_last_name, 
    ",2020-12-23 05:39:16.248 -0800,291,461,752,XSMALL
35,"create table query35 as 
SELECT ca_state, 
       ",2020-12-23 05:39:17.374 -0800,736,1154,1890,XSMALL
36,"create table query36 as 
SELECT Sum(ss_net_profit)",2020-12-23 05:39:22.166 -0800,216,562,778,XSMALL
37,"create table query37 as 
SELECT 
         i_item_i",2020-12-23 05:39:23.430 -0800,352,1092,1444,XSMALL
38,"create table query38 as 
WITH g1 AS (
        SELE",2020-12-23 05:39:26.953 -0800,321,652,973,XSMALL
39,"create table query39 as 
WITH inv 
     AS (SELECT",2020-12-23 05:39:28.523 -0800,783,2719,3502,XSMALL
40,"create table query40 as 
SELECT
                w_",2020-12-23 05:39:32.433 -0800,790,1367,2157,XSMALL
41,"create table query41 as 
SELECT Distinct(i_product",2020-12-23 05:39:35.510 -0800,294,841,1135,XSMALL
42,"create table query42 as 
SELECT dt.d_year, 
      ",2020-12-23 05:39:38.770 -0800,285,502,787,XSMALL
43,"create table query43 as 
SELECT s_store_name, 
   ",2020-12-23 05:39:42.425 -0800,206,431,637,XSMALL
